| Epoch: 9700 | Train Accuracy: 1.0 | Train Loss: 0.0001554397022118792 | Test Accuracy: 0.42129993438720703 | Test Loss: 3.6917977333068848 |
| Epoch: 9800 | Train Accuracy: 1.0 | Train Loss: 0.00014589831698685884 | Test Accuracy: 0.4466942548751831 | Test Loss: 3.379729747772217 |
| Epoch: 9900 | Train Accuracy: 1.0 | Train Loss: 0.00013654917711392045 | Test Accuracy: 0.47578027844429016 | Test Loss: 3.0539937019348145 |
| Epoch: 10000 | Train Accuracy: 1.0 | Train Loss: 0.00012761256948579103 | Test Accuracy: 0.508893609046936 | Test Loss: 2.711970806121826 |
| Epoch: 10100 | Train Accuracy: 1.0 | Train Loss: 0.00011881467798957601 | Test Accuracy: 0.5492784380912781 | Test Loss: 2.3658621311187744 |
| Epoch: 10200 | Train Accuracy: 1.0 | Train Loss: 0.00011016208736691624 | Test Accuracy: 0.5953686237335205 | Test Loss: 2.005338191986084 |
| Epoch: 10300 | Train Accuracy: 1.0 | Train Loss: 0.00010106892295880243 | Test Accuracy: 0.6527575850486755 | Test Loss: 1.6259196996688843 |
| Epoch: 10400 | Train Accuracy: 1.0 | Train Loss: 9.20444363146089e-05 | Test Accuracy: 0.7113770842552185 | Test Loss: 1.2306694984436035 |
| Epoch: 10500 | Train Accuracy: 1.0 | Train Loss: 8.330307900905609e-05 | Test Accuracy: 0.7806242108345032 | Test Loss: 0.8587053418159485 |
| Epoch: 10600 | Train Accuracy: 1.0 | Train Loss: 7.456390449078754e-05 | Test Accuracy: 0.8518850207328796 | Test Loss: 0.5398123264312744 |
| Epoch: 10700 | Train Accuracy: 1.0 | Train Loss: 6.650037539657205e-05 | Test Accuracy: 0.916209876537323 | Test Loss: 0.30086153745651245 |
| Epoch: 10800 | Train Accuracy: 1.0 | Train Loss: 5.94746925344225e-05 | Test Accuracy: 0.9573777914047241 | Test Loss: 0.15202070772647858 |
| Epoch: 10900 | Train Accuracy: 1.0 | Train Loss: 5.366609548218548e-05 | Test Accuracy: 0.9798635244369507 | Test Loss: 0.07161339372396469 |
| Epoch: 11000 | Train Accuracy: 1.0 | Train Loss: 4.848385287914425e-05 | Test Accuracy: 0.9908267259597778 | Test Loss: 0.0334891676902771 |
| Epoch: 11100 | Train Accuracy: 1.0 | Train Loss: 4.394236020743847e-05 | Test Accuracy: 0.9959726929664612 | Test Loss: 0.016541695222258568 |
| Epoch: 11200 | Train Accuracy: 1.0 | Train Loss: 3.996814848505892e-05 | Test Accuracy: 0.9983219504356384 | Test Loss: 0.007781547028571367 |
| Epoch: 11300 | Train Accuracy: 1.0 | Train Loss: 3.6418110539671034e-05 | Test Accuracy: 0.9988812804222107 | Test Loss: 0.0042658606544137 |
| Epoch: 11400 | Train Accuracy: 1.0 | Train Loss: 3.313066918053664e-05 | Test Accuracy: 0.9995525479316711 | Test Loss: 0.002369676949456334 |
